=== Cargo Screen Log Started ===
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=18, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=19, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=20, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=21, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=22, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=23, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=24, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=25, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=26, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=27, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=28, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=29, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=30, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=31, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=32, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=33, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=34, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=35, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=36, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=37, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=38, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=39, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=40, origin.facId=coastWarehouse
